indx,Company,TypeName,Inches,touchscreen,retinadisplay,resolution_width,cpu_speed,Ram,ssd,Price
1,Toshiba,Ultrabook,13.3,0,0,1920,2.5,8,256,72621
2,Apple,Ultrabook,13.3,0,1,2560,2.3,8,128,71379
3,HP,Notebook,17.3,0,0,1920,1.6,8,128,52055
4,Dell,Notebook,15.6,0,0,1920,2.5,4,0,35005
5,HP,Notebook,15.6,0,0,1920,2.5,4,256,21232
6,Dell,2 in 1 Convertible,13.3,1,0,1920,1.8,8,256,46301
7,HP,Notebook,13.3,0,0,1920,1.8,8,512,58768
8,HP,Notebook,15.6,0,0,1920,1.6,8,0,42304
9,Acer,Notebook,15.6,0,0,1366,2.4,4,0,20460
10,Dell,Gaming,15.6,0,0,1920,2.8,16,256,79867
11,Dell,Notebook,15.6,0,0,1920,2.5,8,0,30103
12,Dell,Notebook,15.6,0,0,1920,1.8,8,256,40908
13,Toshiba,Notebook,15.6,0,0,1366,2.3,4,0,32075
14,HP,Notebook,15.6,0,0,1920,2,4,128,23390
15,HP,Notebook,15.6,0,0,1920,3,4,256,26053
16,Asus,Notebook,15.6,0,0,1366,2.5,4,256,31232
17,Dell,Gaming,17.3,0,0,1920,2.8,16,256,130874
18,MSI,Gaming,17.3,0,0,1920,2.8,16,256,130483
19,Dell,2 in 1 Convertible,15.6,1,0,1920,1.6,8,256,42571
20,Asus,Notebook,15.6,0,0,1920,2,4,256,22111
21,Lenovo,Netbook,11.6,0,0,1366,1.1,4,128,29464
22,Dell,Notebook,17.3,0,0,1920,1.8,16,256,69211
23,HP,Notebook,15.6,0,0,1366,2.5,4,256,19660
24,Dell,Ultrabook,14,0,0,1920,1.6,8,256,46833
25,Dell,Ultrabook,15.6,0,0,1920,1.6,8,256,58403
26,Apple,Ultrabook,12,0,1,2304,1.3,8,512,80453
27,HP,Notebook,14,0,0,1920,1.6,8,256,45821
28,Lenovo,Gaming,15.6,0,0,1920,2.5,8,256,41505
29,Lenovo,Notebook,15.6,0,0,1920,2.5,4,128,21259
30,Asus,Notebook,15.6,0,0,1366,2.5,8,0,27865
31,Acer,Ultrabook,13.3,0,0,1920,1.2,8,256,52694
32,Acer,Notebook,15.6,0,0,1366,3,4,0,21046
33,Dell,Gaming,15.6,0,0,1920,2.8,16,128,71875
34,HP,Ultrabook,15.6,0,0,1920,1.8,8,256,37243
