Category,Beverage,Customization,Size,Calories
Classic Espresso Drinks,Caffe Americano,None,Grande,15
Classic Espresso Drinks,Caffe Americano,None,Short,5
Classic Espresso Drinks,Caffe Americano,None,Tall,10
Classic Espresso Drinks,Caffe Americano,None,Venti,25
Classic Espresso Drinks,Caffe Latte,2% Milk,Short ,100
Classic Espresso Drinks,Caffe Latte,2% Milk,Tall,150
Classic Espresso Drinks,Caffe Latte,2% Milk,Grande,190
Classic Espresso Drinks,Caffe Latte,2% Milk,Venti,240
Classic Espresso Drinks,Caffe Latte,Nonfat Milk,Grande,130
Classic Espresso Drinks,Caffe Latte,Nonfat Milk,Short,70
Classic Espresso Drinks,Caffe Latte,Soymilk,Short ,70
Classic Espresso Drinks,Caffe Latte,Soymilk,Tall,110
Classic Espresso Drinks,Caffe Latte,Soymilk,Grande,150
Classic Espresso Drinks,Caffe Latte,Soymilk,Venti,190
Classic Espresso Drinks,Caffe Latte,Nonfat Milk,Tall ,100
Classic Espresso Drinks,Caffe Latte,Nonfat Milk,Venti ,170
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),2% Milk,Short ,130
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),2% Milk,Tall,200
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),2% Milk,Grande,260
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),2% Milk,Venti,340
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Nonfat Milk,Grande,220
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Nonfat Milk,Short,110
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Soymilk,Short ,110
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Soymilk,Tall,180
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Soymilk,Grande,230
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Soymilk,Venti,290
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Nonfat Milk,Tall,170
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Nonfat Milk,Venti,280
Classic Espresso Drinks,Cappuccino,2% Milk,Short ,80
Classic Espresso Drinks,Cappuccino,2% Milk,Tall,90
Classic Espresso Drinks,Cappuccino,2% Milk,Grande,120
Classic Espresso Drinks,Cappuccino,2% Milk,Venti,150
Classic Espresso Drinks,Cappuccino,Nonfat Milk,Grande,80
Classic Espresso Drinks,Cappuccino,Nonfat Milk,Short,50
Classic Espresso Drinks,Cappuccino,Soymilk,Short ,50
Classic Espresso Drinks,Cappuccino,Soymilk,Tall,70
Classic Espresso Drinks,Cappuccino,Soymilk,Grande,100
Classic Espresso Drinks,Cappuccino,Soymilk,Venti,120
Classic Espresso Drinks,Cappuccino,Nonfat Milk,Tall,60
Classic Espresso Drinks,Cappuccino,Nonfat Milk,Venti,110
Classic Espresso Drinks,Espresso,Doppio,,10
Classic Espresso Drinks,Espresso,Solo,,5
Classic Espresso Drinks,Skinny Latte (Any Flavour),Nonfat Milk,Grande,120
Classic Espresso Drinks,Skinny Latte (Any Flavour),Nonfat Milk,Short,60
Classic Espresso Drinks,Skinny Latte (Any Flavour),Nonfat Milk,Tall,100
Classic Espresso Drinks,Skinny Latte (Any Flavour),Nonfat Milk,Venti,160
